id,name,created_at,updated_at,country_id,sector_id,related_companies,industry_id,bhrrc_url,latest_statement_for_compliance_stats_id,company_number
NEW5782,Border Holdings (U.K.) Ltd.,,,1533,,,,,,1664243
NEW5783,Borgwarner Limited,,,1533,,,,,,2346109
NEW5789,Bourne Education Trust,,,1533,,,,,,7768726
NEW5790,Bourne Group Ltd.,,,1533,,,,,,412198
NEW5792,Box Ltd,,,1533,,,,,,3224094
NEW5793,Boxes And Packaging (UK) Limited,,,1533,,,,,,5562625
NEW5796,Bradford Diocesan Academies Trust,,,1533,,,,,,8258994
NEW5797,Bradford Hide Company Limited,,,1533,,,,,,1615294
NEW5805,Brayleys Cars Limited,,,1533,,,,,,4630552
NEW5806,BRC Limited,,,1533,,,,,,6662824
NEW5807,Bregal Investments London Limited,,,1533,,,,,,4345764
NEW5812,Bridgebank Limited,,,1533,,,,,,2062057
NEW5814,Bridgnorth Aluminium Limited,,,1533,,,,,,4155640
NEW5820,Brighton College,,,1533,,,,,,7663
NEW5826,Brioche Pasquier U.K. Limited,,,1533,,,,,,4039198
NEW5830,Bristol Fruit Sales (Bananas) Limited,,,1533,,,,,,5900851
NEW5847,Broadley (Group) Limited,,,1533,,,,,,4234451
NEW5850,Bromsgrove School,,,1533,,,,,,4808121
NEW5853,Brose Limited,,,1533,,,,,,849216
NEW5855,Brother International Europe Limited,,,1533,,,,,,664172
NEW5859,Brown Shipley & CO. Limited,,,1533,,,,,,398426
NEW5861,Brownhills Motorhomes Limited,,,1533,,,,,,2999408
NEW5862,Browns Food Group Limited,,,1533,,,,,,SC236133
NEW5864,Bruker UK Limited,,,1533,,,,,,923986
NEW5865,Bruntwood Limited,,,1533,,,,,,6017744
NEW5873,Build-A-Bear Workshop UK Limited,,,1533,,,,,,4537212
NEW5875,Bullitt Mobile Limited,,,1533,,,,,,6945690
NEW5878,Burger & Lobster Restaurant Group Limited,,,1533,,,,,,8332271
NEW5884,Burton's Foods Limited,,,1533,,,,,,2086754
NEW5885,Bussey & Sabberton Bros.Limited,,,1533,,,,,,184728
NEW5886,Busy Bees Nurseries Limited,,,1533,,,,,,3454787
NEW5888,Buzzacott LLP,,,1533,,,,,,OC329687
NEW5889,BW Workplace Experts Limited,,,1533,,,,,,10700265
NEW5891,Byron Hamburgers Limited,,,1533,,,,,,7228130
NEW5894,C H Jones Limited,,,1533,,,,,,305804
NEW5895,C I T B,,,1533,,,70,,,CHA264289
NEW5896,C J Bourne (Asset Management) Limited,,,1533,,,,,,3687861
NEW5897,C. Brown & Sons (Steel) Limited,,,1533,,,,,,528385
NEW5900,C. Smart Agricultural Services Limited,,,1533,,,,,,3635176
NEW5901,C.A. Group Limited,,,1533,,,,,,1745027
NEW5902,C.E.X. Limited,,,1533,,,,,,3194152
NEW5903,C.G. FRY And Son Limited,,,1533,,,,,,1765396
NEW5905,C.P. Hart & Sons Limited,,,1533,,,,,,889832
NEW5906,C.Wynne & Sons Limited,,,1533,,,,,,633976
NEW5908,Cabot Learning Federation,,,1533,,,,,,6207590
NEW5912,Caffyns Public Limited Company,,,1533,,,,,,105664
NEW5914,Calachem Ltd,,,1533,,,,,,5369235
NEW5920,Cambridge & Counties Bank Limited,,,1533,,,,,,7972522
NEW5922,Cambridge Meridian Academies Trust,,,1533,,,,,,7552498
NEW5926,Cameron Mackintosh Limited,,,1533,,,,,,1490880
NEW5928,Campbell's Prime Meat Limited,,,1533,,,,,,SC051565
NEW5933,Canterbury Christ Church University,,,1533,,,,,,4793659
NEW5934,Cantor Fitzgerald Europe,,,1533,,,,,,2505767
NEW5937,Capital (Hair And Beauty) Limited,,,1533,,,,,,530201
NEW5938,Capital City Service Limited,,,1533,,,,,,4686010
NEW5941,Caprice Holdings Limited,,,1533,,,,,,1661349
NEW5943,Capula Investment Services Ltd,,,1533,,,,,,5460265
NEW5948,Cardinal Maritime Limited,,,1533,,,,,,3444899
NEW5949,Care International UK,,,1533,,,,,,1911651
NEW5950,Care Management Group Limited,,,1533,,,,,,2992839
NEW5953,Cargologicair Ltd.,,,1533,,,,,,9468908
