MSR Company ID,Companies House Number
9513,5830615
25962,5830980
9528,IP00684C
25997,330755
25996,330754
24950,2333074
24952,3566410
24951,3474989
9544,7923665
25613,1535815
25614,2863605
26843,2164993
27452,10651705
27450,3262598
23401,1741892
25983,SC352496
9574,1014213
26271,8647181
9578,21708
28722,5728110
28721,3045421
24482,35161
24483,4521150
23402,5202458
23403,4253528
24869,1933884
23405,SC064691
23406,3359828
25002,2059191
9607,2704072
23412,5095454
23409,5149491
23408,5149493
23411,6766848
23410,7092596
23414,8151473
23413,8151511
9641,2403551
28102,1462441
25558,2677508
27810,11610299
9655,3162310
26336,4325783
26340,1232146
23419,11850349
26337,10307158
23417,9301509
26342,10761929
23416,8240961
27814,7098352
27813,4161529
28106,10801931
23422,7622519
9714,1245534
9722,7807276
23427,9055599
23426,571546
28307,880052
28308,SC076786
28313,3073491
28304,768471
28305,2865840
28312,1993294
28306,3383737
28303,835066
28309,SC099063
28310,2692230
28317,2954615
28315,931166
28316,2310364
28311,735487
23430,3851237
26301,2504054
26307,SC390210
26302,3599380
26303,7591127
26304,5158607
26305,5458214
26308,3554820
26306,4072464
9761,6723149
9767,1364201
27819,10585274
27818,10567033
27817,7591813
24910,781024
25351,FC033281
25349,9458807
25350,9457141
25324,6863307
25352,6767724
25325,8253772
25326,6309906
25328,3704031
25344,6863247
25342,5259503
25345,5259474
25330,6146573
25331,8253782
25333,6357992
25334,6357999
25341,7438584
25348,3976881
25336,4957256
25335,4125302
25338,5708696
25337,4104671
25339,5867292
25346,2997799
25340,7361419
25343,9995266
25323,6287793
25347,10480217
9796,4091100
23495,3001351
23494,1271033
9815,2698321
9820,5171525
9822,FC032824
23440,OC365812
23433,5278995
23434,4617236
23432,5015446
26284,10335604
26282,3826675
23444,1101960
23442,1037913
26283,2567241
23445,2813597
26286,3813263
23443,2567241
23448,5472032
23447,2338401
23446,342778
26232,1826942
23451,2675585
27990,8169523
27989,6770098
27991,6764905
25133,9787749
25136,7410874
27021,OC312644
27019,383032
27020,1562865
27017,1533123
27018,2582000
26826,2294747
27992,721411
27993,1754279
27994,298325
27995,3194496
26579,3477890
26580,629814
23457,690190
23453,1977948
23454,441484
23455,340931
9921,5367067
9929,4882378
9935,5280446
23460,4256648
10052,809238
23752,1547204
25652,9501001
23463,2715846
23462,4120140
23466,7611628
10021,4723022
10023,3017158
27705,OC304797
27703,7170593
27706,OC332174
28148,11686576
10058,3897010
28663,5081707
28664,10445362
28665,7554778
28666,4094368
28667,2078820
28668,4265874
28669,3750670
28670,2423952
10080,IP00488C
28726,LP010210
28725,1087015
28724,1184323
23478,1725853
23474,706764
23479,3053702
23475,9301346
23476,2828572
10157,SP1481RS
10159,4883675
25883,4864216
25884,1919676
25885,4776473
23485,817692
23486,FC002851
10197,7029846
10207,1926828
27997,2360172
27998,6977192
28002,9477058
28000,8417755
27999,9227641
28001,7565512
28003,10776856
27327,8375875
10219,623420
28347,2758955
23492,550634
23493,8473484
10229,IP28844R
10230,2927256
24765,307812
24766,3772746
24767,4339898
24768,4126448
24769,9104675
24770,2274210
24764,862823
24771,936223
23501,10216412
23500,2072365
23499,6459367
27683,2237808
25304,7015689
23507,1291562
23505,425809
23508,2384199
24860,1189115
26813,10486810
27085,9653387
26028,1708613
26025,2577557
26027,8792537
26026,2728518
23509,3875990
23511,2949032
23513,989421
23514,5121836
23512,729671
10303,CE006578
10305,IP27793R
10309,1845919
26196,6489020
10324,5713403
23517,7022432
10332,1191211
28004,4562724
23518,1224375
23520,5659669
24971,2597025
10374,646166
10376,3476850
10377,9003402
10378,4729734
10382,631825
25175,2547805
25174,818889
27787,27173
25276,2874626
25064,7768653
29680,2561341
29681,7276298
29679,7956484
29678,4387886
29682,3641099
10415,749504
10420,IP15210R
10425,349070
10428,4154876
23522,220221
10431,SC102969
23526,714804
23536,2195072
23525,NI004882
23531,NI025262
23528,3410784
23537,4136968
23533,5412648
23534,4604497
23529,SC184583
23532,3379223
23530,4172337
23527,1097144
23535,3050018
23524,680734
26410,2834414
26409,3129113
23543,1798759
23546,2271469
23545,9623556
23544,3911468
23542,SC086995
23541,1075750
23547,4556216
25243,890885
25208,8494131
23548,501712
23550,4270446
23549,6459521
23552,7283798
23551,5313771
26194,1016224
26192,3034745
26193,2208873
26853,2564794
26854,5428762
25191,3744754
26856,6600609
26861,5438319
26857,1922327
26858,3033245
26852,2379479
26862,5360868
26859,2995531
26860,2507588
25190,2578069
26863,4932529
25194,889628
25193,8538422
23554,3245648
23555,11716620
23556,4047194
23557,3226910
24884,2505731
23571,301199
24882,2053619
24891,3385466
23569,2256383
23574,SC148574
23572,986754
23573,SC053223
10485,IP18077R
26604,1118740
27277,6704581
25237,6997417
26780,5289257
26332,2454226
26333,3364828
23575,2454226
23577,10261433
23576,2645354
10511,1485997
24659,3299599
25987,2945014
10530,5303822
28026,9015536
23596,4813767
23593,295579
23592,322817
23598,4447940
23599,4861074
23600,1174004
23601,6450140
23595,5576327
23606,660066
25003,3015758
23612,414844
23613,3015758
10564,371501
23616,5501886
23614,4992387
23617,2625814
23615,1529849
10570,NF004140
10786,SC301188
10578,6885462
10579,9129964
23633,1349209
23635,4125393
10602,2443911
22856,3918013
23639,5912556
23642,3410466
23643,6761385
23644,6860712
23649,8019627
23650,6006369
23651,3705715
23647,6006363
23648,6006362
23646,FC030007
23656,6613927
23654,6301718
23661,6928362
23660,4397729
23659,2629492
23658,7882982
23662,3368205
29538,5176687
23663,6452616
23667,750143
24844,6540994
23669,FC033166
23674,8291668
23676,5355195
23675,3725732
23681,6777781
23678,820730
23677,182037
23679,1977325
23680,1980596
23685,6007150
23687,SC001771
23688,AC001084
23692,2200260
28044,2683906
28035,1764882
28042,6867999
28043,7430139
28041,4109544
28036,4473447
28037,2623171
28038,4644289
28040,4129894
28039,4644298
23694,1728563
23695,3683351
10706,RS007448
26885,915843
23698,AC001835
23702,2968384
23699,1815126
23703,3087772
23700,SE000103
23701,FC033574
23697,SE000080
23706,4004640
23704,5137980
23709,12257529
23707,7462412
23711,8634130
23713,12040464
23705,411573
23708,363411
28775,656457
24437,2182671
23722,688522
23725,841865
23724,372215
23716,1674180
23719,3532045
23723,1371688
23721,1103530
23720,1346797
25092,1410463
26456,1687068
26455,564656
23728,3997679
25236,6534112
23733,4097913
23735,3061637
23734,581742
27565,3589112
27567,11590604
27588,FC032827
27569,10332225
27589,FC032828
27590,FC032829
27591,FC032832
