Modern Slavery Registry ID,Companies House Number
17990,02885270
27720,00686405
16970,01438525
18953,OC306448
7115,04129810
17412,03491731
7117,RC000079
16813,00111849
23916,00589650
7062,OC315919
26395,FC032927
7118,02099201
22540,01844007
26898,07864997
8528,04085346
9413,SC108926
7119,04405796
16843,03974944
16971,02980487
7122,02670500
7120,04190816
7123,02181671
16917,01577251
17640,04287341
16962,02207415
26411,01603021
18346,07400400
7125,06924413
9385,SC085664
9159,00358948
18152,03690496
23284,04122364
23291,03956433
7127,03458224
23502,00162636
27791,07307131
10275,01758622
25052,07556770
9766,OC307212
9698,SO300380
7128,02384046
9483,02049511
7129,03782929
24672,00552582
10893,01713728
7131,08246423
21972,02261235
7132,03393851
22196,04347790
17093,04018003
27748,08630592
7133,04130988
25869,06569580
24172,01179102
17709,01100323
22270,02630764
22922,01616977
7135,03643194
23538,01035594
18269,00203852
10031,00240822
27320,02862209
17088,NI009719
10800,03314066
16649,01464224
18197,03639165
16802,00664770
9084,05001368
7136,04934534
9709,01649776
10881,01435461
8529,05577857
9067,02862479
10298,02685146
25905,SC172470
18501,SC226712
26582,03982958
7137,08428265
22925,SC013655
7138,08949175
26525,08295507
16688,02506615
27964,SC076552
8530,SC041252
17333,SC195444
16776,08747100
10233,03668383
8710,09020390
9336,00303703
7139,02360038
8875,10504732
25280,04280519
21453,08929371
7140,05754547
21310,06135829
18769,06020370
9261,04606950
7141,01673704
7142,00029559
7143,02822203
7144,02215654
7144,09512739
7145,04112016
22926,03820849
17804,00445520
21726,00941995
9628,01774003
10574,02228475
10095,04191122
7146,01626049
10498,04903360
18814,05276648
10346,01264300
16814,01514453
23917,02733994
24523,06931046
9037,00943935
7151,07145051
8808,01399411
18596,10601860
10447,02174236
18253,03638404
9869,03879023
7150,02081330
24585,03949686
21871,01145372
21101,OC391007
7152,OC340360
10361,OC313398
17311,00953504
10476,03940920
24898,02504167
7153,00196249
9471,09050863
10727,09002747
7155,RC000089
10180,03115184
21210,06723714
27206,04457287
7156,01668247
22864,06528491
17168,02949558
7157,02644192
10631,OC345292
27122,01407612
7158,01387437
9307,03782379
9817,01089809
18015,02022858
22876,02001576
21377,07863120
7160,02843581
21071,00214781
7162,OC382284
18584,02671002
26772,01080363
18614,03421745
24464,08320021
18705,03542310
9999,05331512
7163,OC304417
22428,02830998
22928,00618898
7164,00402454
26507,00157267
21561,08987580
21138,04983326
18612,00469608
21115,03746477
10700,01141972
7166,02269053
16894,02196821
7167,09187410
26956,04528405
26953,04793636
21444,04703140
21254,03910203
7171,02808583
22304,02002346
7172,00968729
9020,04228450
28573,04310986
10860,03089060
10367,04418144
7174,03877777
17919,NI038852
27826,NI605619
7176,04922598
18337,OC357077
17789,04466326
28268,09087639
17526,SC138730
16844,OC357078
16707,05470441
